d,open,high,low,close
2025-01-30T14:00:00+07:00,105184.38,105348,104799.66,105132.07
2025-01-30T15:00:00+07:00,105132.07,105368.84,104925.26,105060.01
2025-01-30T16:00:00+07:00,105060.01,105534,105021.36,105412.05
2025-01-30T17:00:00+07:00,105412.05,105412.06,105117.63,105345.4
2025-01-30T18:00:00+07:00,105345.41,105392,105078.01,105300.63
2025-01-30T19:00:00+07:00,105300.63,105312.93,104836.85,105020
2025-01-30T20:00:00+07:00,105020.01,105367.57,104836.58,104879.99
2025-01-30T21:00:00+07:00,104879.99,106222.08,104660,105920.57
2025-01-30T22:00:00+07:00,105920.57,106457.44,105353.85,105564
2025-01-30T23:00:00+07:00,105563.99,106013.01,105455.3,105696.96
2025-01-31T00:00:00+07:00,105696.96,105698.27,104900.14,105300.01
2025-01-31T01:00:00+07:00,105300.01,105583.39,104762.59,105578.95
2025-01-31T02:00:00+07:00,105578.96,105776.87,105231.58,105711.27
2025-01-31T03:00:00+07:00,105711.28,105821.62,104815.82,104907.15
2025-01-31T04:00:00+07:00,104907.1,105217.17,104805.15,105048.89
2025-01-31T05:00:00+07:00,105048.89,105351.29,104962.11,105094.56
2025-01-31T06:00:00+07:00,105094.57,105254,104693.82,104722.94
2025-01-31T07:00:00+07:00,104722.94,105029.72,104400,104898.49
2025-01-31T08:00:00+07:00,104898.48,104908.15,104420.97,104729.58
2025-01-31T09:00:00+07:00,104729.95,104851.99,104255.01,104341.72
2025-01-31T10:00:00+07:00,104341.73,104377.76,103930.09,104344.46
2025-01-31T11:00:00+07:00,104344.46,104547.24,103972.13,104007.58
2025-01-31T12:00:00+07:00,104007.59,104484.09,104007.59,104319.87
2025-01-31T13:00:00+07:00,104319.87,104745.1,104298.73,104511.02
2025-01-31T14:00:00+07:00,104511.03,104814.46,104002.01,104188.56
2025-01-31T15:00:00+07:00,104188.57,104321.98,104013.63,104028.78
2025-01-31T16:00:00+07:00,104028.79,104329.73,103936.54,104256.56
2025-01-31T17:00:00+07:00,104256.57,104431.49,104080.1,104284.1
2025-01-31T18:00:00+07:00,104284.1,104848.65,104284.1,104736
2025-01-31T19:00:00+07:00,104736.01,104918.3,104553.71,104704.68
2025-01-31T20:00:00+07:00,104704.69,105036.03,104551.09,104664.02
2025-01-31T21:00:00+07:00,104664.01,104860,104106,104442.79
2025-01-31T22:00:00+07:00,104443.99,106012,104443.99,105464.01
2025-01-31T23:00:00+07:00,105464,105574.4,104696.23,105081.87
2025-02-01T00:00:00+07:00,105081.86,105081.87,104542,104580.87
2025-02-01T01:00:00+07:00,104580.87,104820,102605,102627.29
2025-02-01T02:00:00+07:00,102627.29,103016.66,102122,102312.32
2025-02-01T03:00:00+07:00,102312.31,102321.42,101603.23,101680.02
2025-02-01T04:00:00+07:00,101680.02,102166.11,101560,102148.73
2025-02-01T05:00:00+07:00,102148.72,102482.94,101918.46,102261.3
2025-02-01T06:00:00+07:00,102261.29,102439.31,101955,102429.56
2025-02-01T07:00:00+07:00,102429.56,102575.06,102213.07,102494.94
2025-02-01T08:00:00+07:00,102494.94,102780.27,102460.33,102566
2025-02-01T09:00:00+07:00,102566,102783.71,102400,102467.77
2025-02-01T10:00:00+07:00,102466.96,102518.42,102198.52,102249.19
2025-02-01T11:00:00+07:00,102249.19,102503.03,102118.56,102316.16
2025-02-01T12:00:00+07:00,102316.15,102588.57,102235.29,102500
2025-02-01T13:00:00+07:00,102500,102577.12,102184.46,102402.91
2025-02-01T14:00:00+07:00,102402.91,102494.69,102161.82,102166.49
2025-02-01T15:00:00+07:00,102166.49,102276.99,101836.43,102016.85
2025-02-01T16:00:00+07:00,102016.85,102016.85,101412,101675.99
2025-02-01T17:00:00+07:00,101675.99,101984.99,101626.82,101638
2025-02-01T18:00:00+07:00,101638,102055.98,101638,102028.81
2025-02-01T19:00:00+07:00,102028.82,102329.01,102009.12,102277.71
2025-02-01T20:00:00+07:00,102277.71,102284.46,101799.9,101869.02
2025-02-01T21:00:00+07:00,101869.04,102173.45,101812,101827.53
2025-02-01T22:00:00+07:00,101827.53,102185.94,101730.79,102073.89
2025-02-01T23:00:00+07:00,102073.89,102209.98,101863.77,101892.32
2025-02-02T00:00:00+07:00,101892.32,102297.99,101892.32,102262.49
2025-02-02T01:00:00+07:00,102262.5,102279.52,101965.24,102003.7
2025-02-02T02:00:00+07:00,102003.7,102023.63,101448,101669.6
2025-02-02T03:00:00+07:00,101669.6,101669.6,101000,101333.34
2025-02-02T04:00:00+07:00,101333.34,101578.04,101001,101199.82
2025-02-02T05:00:00+07:00,101199.81,101428,100510,100666.91
2025-02-02T06:00:00+07:00,100666.9,100871.45,100279.51,100635.65
2025-02-02T07:00:00+07:00,100635.66,101288.51,100500,101243.86
2025-02-02T08:00:00+07:00,101243.86,101456.6,101165.1,101248.38
2025-02-02T09:00:00+07:00,101248.38,101271.32,100425,100452.16
2025-02-02T10:00:00+07:00,100452.16,100755.93,99148.91,99206.86
2025-02-02T11:00:00+07:00,99206.85,99884,99031.19,99538.6
2025-02-02T12:00:00+07:00,99538.6,100342.69,99500,100259.53
2025-02-02T13:00:00+07:00,100259.53,100515.99,100094.69,100265.15
2025-02-02T14:00:00+07:00,100265.15,100277.54,99565.6,99643.3
2025-02-02T15:00:00+07:00,99643.3,100100,99315.91,99831.04
2025-02-02T16:00:00+07:00,99831.05,99864.02,99352.94,99690.78
2025-02-02T17:00:00+07:00,99690.78,99694.72,99200,99417.06
2025-02-02T18:00:00+07:00,99417.07,99604,98645,98864.6
2025-02-02T19:00:00+07:00,98864.6,99166.19,98157,98178
2025-02-02T20:00:00+07:00,98178,98827.18,98160,98795.88
2025-02-02T21:00:00+07:00,98795.89,99439.05,98705.88,99205.08
2025-02-02T22:00:00+07:00,99205.08,99405.74,98720.55,99346.87
2025-02-02T23:00:00+07:00,99346.87,99361.97,98075.02,98264
2025-02-03T00:00:00+07:00,98264.01,98580.38,97019,97228.85
2025-02-03T01:00:00+07:00,97228.86,97931.65,96821.54,97087.92
2025-02-03T02:00:00+07:00,97087.92,98700,96842.33,98273.16
2025-02-03T03:00:00+07:00,98273.17,98628.74,97650.54,97798
2025-02-03T04:00:00+07:00,97798.01,97977.02,96573.47,97020.54
2025-02-03T05:00:00+07:00,97020.56,98022.2,96150,97994.46
2025-02-03T06:00:00+07:00,97994.47,97994.47,96543.1,97700.59
2025-02-03T07:00:00+07:00,97700.59,97782.79,95500,96511.33
2025-02-03T08:00:00+07:00,96511.33,96945.03,92000,93435.82
2025-02-03T09:00:00+07:00,93436.97,94980,91231,93566.01
2025-02-03T10:00:00+07:00,93566,94688,93426.49,94038.74
2025-02-03T11:00:00+07:00,94038.75,94490.72,92646.36,92786.53
2025-02-03T12:00:00+07:00,92786.53,94273.84,92760.8,94216
2025-02-03T13:00:00+07:00,94215.99,94600,93657.33,93911.04
2025-02-03T14:00:00+07:00,93911.05,95426.63,93846.32,95333.01
2025-02-03T15:00:00+07:00,95333.01,95634.39,94850.85,95340
2025-02-03T16:00:00+07:00,95339.99,95950.68,95222.03,95277
2025-02-03T17:00:00+07:00,95277,95725.25,94799.29,95702.67
2025-02-03T18:00:00+07:00,95702.68,95716.21,94953.6,95107.89
2025-02-03T19:00:00+07:00,95107.89,95625,94757.22,94764.01
2025-02-03T20:00:00+07:00,94764.01,95400,94367.92,94664.51
