Log
"Candle 21447: time=2025-06-12 17:00:00, high=108450.16, low=107702.42, trailingActive=False, BE_reached=True, TS_reached=True, trailingSL=109595.01"
"Candle 21448: time=2025-06-12 18:00:00, high=108419.21, low=107229.47, trailingActive=False, BE_reached=True, TS_reached=True, trailingSL=109595.01"
"Candle 21449: time=2025-06-12 19:00:00, high=107879.92, low=106680.0, trailingActive=False, BE_reached=True, TS_reached=True, trailingSL=109595.01"
"Candle 21450: time=2025-06-12 20:00:00, high=106960.77, low=105772.73, trailingActive=False, BE_reached=True, TS_reached=True, trailingSL=109595.01"
"Candle 21451: time=2025-06-12 21:00:00, high=106430.39, low=105860.9, trailingActive=False, BE_reached=True, TS_reached=True, trailingSL=109595.01"
"Candle 21452: time=2025-06-12 22:00:00, high=106225.4, low=105726.65, trailingActive=False, BE_reached=True, TS_reached=True, trailingSL=109595.01"
"Candle 21453: time=2025-06-12 23:00:00, high=106140.0, low=105671.72, trailingActive=False, BE_reached=True, TS_reached=True, trailingSL=109595.01"
"Candle 21454: time=2025-06-13 00:00:00, high=105694.0, low=103213.87, trailingActive=False, BE_reached=True, TS_reached=True, trailingSL=109595.01"
"Candle 21455: time=2025-06-13 01:00:00, high=103938.59, low=102664.31, trailingActive=False, BE_reached=True, TS_reached=True, trailingSL=109595.01"
"Candle 21456: time=2025-06-13 02:00:00, high=103976.64, low=103065.58, trailingActive=False, BE_reached=True, TS_reached=True, trailingSL=109595.01"
"Candle 21457: time=2025-06-13 03:00:00, high=104590.0, low=103605.12, trailingActive=False, BE_reached=True, TS_reached=True, trailingSL=109595.01"
"Candle 21458: time=2025-06-13 04:00:00, high=104506.36, low=103782.75, trailingActive=False, BE_reached=True, TS_reached=True, trailingSL=109595.01"
"Candle 21459: time=2025-06-13 05:00:00, high=104450.0, low=104000.0, trailingActive=False, BE_reached=True, TS_reached=True, trailingSL=109595.01"
"Candle 21460: time=2025-06-13 06:00:00, high=104722.5, low=103825.11, trailingActive=False, BE_reached=True, TS_reached=True, trailingSL=109595.01"
"Candle 21461: time=2025-06-13 07:00:00, high=104970.12, low=104376.43, trailingActive=False, BE_reached=True, TS_reached=True, trailingSL=109595.01"
