time,open,high,low,close,Buy4,Sell4,LONG,SHORT,buy atr,Sell ATR,Volume,ADX Trên Threshold,ADX Dưới Threshold,Ngưỡng Threshold,RROF Smooth,Signal Line,Buy4,Sell4,buy atr,Sell ATR
2025-01-05T11:00:00+07:00,0.006929,0.006953,0.00686,0.006877,0,0,0,0,0,0,694053989,7.538609109677935,NaN,0,11.426357394764759,17.941983763475836,0,0,0,0
2025-01-05T15:00:00+07:00,0.006878,0.006885,0.00676,0.006822,0,0,0,0,0,0,1695420708,6.013894670943159,NaN,0,4.4801481262798095,12.411756897572639,0,0,0,0
2025-01-05T19:00:00+07:00,0.006821,0.006936,0.006713,0.006871,0,0,0,0,0,0,2143979068,4.9923824844325075,NaN,0,3.4322192918322445,8.305522502069293,0,0,0,0
2025-01-05T23:00:00+07:00,0.006871,0.00694,0.006797,0.00694,0,0,0,0,0,0,1001842962,4.074906089356229,NaN,0,6.718553203131797,6.7131638639572655,0,0,0,0
2025-01-06T03:00:00+07:00,0.00694,0.007031,0.006913,0.006982,0,0,0,0,0,0,883405299,3.8943142603523064,NaN,0,11.07589697990772,7.5291339489924605,0,0,0,0
2025-01-06T07:00:00+07:00,0.006982,0.007061,0.006835,0.007016,0,0,0,0,0,0,1492661023,2.869815141913275,NaN,0,17.20545953825651,10.78874212868354,0,0,0,0
2025-01-06T11:00:00+07:00,0.007016,0.007044,0.006897,0.00696,0,0,0,0,0,0,1037133655,1.9184945319341722,NaN,0,20.354079077301613,14.712616678490205,0,0,0,0
2025-01-06T15:00:00+07:00,0.00696,0.006972,0.006787,0.006912,0,0,0,0,0,0,1641907630,0.05462402183643178,NaN,0,20.85658720128862,17.74573187289109,0,0,0,0
2025-01-06T19:00:00+07:00,0.006912,0.007093,0.006814,0.007083,0,0,0,0,0,0,2788197168,NaN,-0.8058590117337907,0,26.657682679172865,21.55092103262296,0,0,0,0
2025-01-06T23:00:00+07:00,0.007083,0.007204,0.00695,0.007021,0,0,0,0,0,0,2037319590,NaN,-0.8632285145919703,0,26.87145066857757,24.098090890420327,0,0,0,0
2025-01-07T03:00:00+07:00,0.007021,0.007063,0.006925,0.006986,0,0,0,0,0,0,825687223,NaN,-1.164476430984415,0,24.492177796453557,24.799132878265034,0,0,0,0
2025-01-07T07:00:00+07:00,0.006986,0.007045,0.006846,0.006909,0,0,0,0,0,0,1121542874,NaN,-2.1926813630274182,0,18.248036891163224,22.933013347133162,0,0,0,0
2025-01-07T11:00:00+07:00,0.00691,0.006918,0.006821,0.006855,0,0,0,0,0,0,836218519,NaN,-3.3735012514518736,0,10.055026610072144,18.47629320138015,0,0,0,0
2025-01-07T15:00:00+07:00,0.006855,0.006922,0.006704,0.006749,0,0,0,1,0,0,1607689732,NaN,-4.400879756663841,0,-0.5557046977077107,11.20276665911496,0,0,0,0
2025-01-07T19:00:00+07:00,0.006749,0.006783,0.006284,0.006372,0,0,0,0,0,0,5853589116,NaN,-3.1707559164874297,0,-13.4509793101716,1.445041071153839,0,0,0,0
2025-01-07T23:00:00+07:00,0.006372,0.006402,0.006118,0.006148,0,0,0,0,0,0,2975283913,NaN,-1.4819931891855695,0,-27.174729094804896,-10.199105779768434,0,0,0,0
2025-01-08T03:00:00+07:00,0.006148,0.006172,0.006027,0.006056,0,0,0,0,0,0,2051500580,0.34991773293155504,NaN,0,-39.187235472832675,-22.4029609639494,0,0,0,0
2025-01-08T07:00:00+07:00,0.006055,0.006132,0.005918,0.005975,0,0,0,0,0,0,2774718608,2.3427027837264376,NaN,0,-49.372434244691185,-34.17286424781682,0,0,0,0
2025-01-08T11:00:00+07:00,0.005975,0.005978,0.005752,0.005857,0,0,0,0,0,0,3374118596,4.581931552145008,NaN,0,-57.669733304425385,-44.74670316127807,0,0,0,0
2025-01-08T15:00:00+07:00,0.005857,0.005936,0.005786,0.005836,0,0,0,0,0,0,2040167883,6.661215408533671,NaN,0,-63.75614194334373,-53.54174304726427,0,0,0,0
2025-01-08T19:00:00+07:00,0.005835,0.005913,0.005781,0.00585,0,0,0,0,0,0,2358590000,8.603930479358866,NaN,0,-67.07480654978153,-60.08932695985159,0,0,0,0
2025-01-08T23:00:00+07:00,0.00585,0.005854,0.005451,0.005606,0,0,0,0,0,0,7824099171,11.064789467937217,NaN,0,-70.13967754842241,-64.99852937498741,0,0,0,0
2025-01-09T03:00:00+07:00,0.005606,0.005705,0.005548,0.005662,0,0,0,0,0,0,1760398992,13.349872814474253,NaN,0,-69.49877918233973,-67.63060286305638,0,0,0,0
2025-01-09T07:00:00+07:00,0.005661,0.005767,0.005639,0.005672,0,0,0,0,0,0,1552952997,14.914192076712993,NaN,0,-68.5172123892663,-68.59373109092431,0,0,0,0
2025-01-09T11:00:00+07:00,0.005673,0.0057,0.005475,0.005506,0,0,0,0,0,0,2200204186,16.698539059075998,NaN,0,-68.97445936703727,-68.98610970572648,0,0,0,0
2025-01-09T15:00:00+07:00,0.005507,0.005666,0.005484,0.005627,0,0,0,0,0,0,1778175360,18.35543268555594,NaN,0,-64.30831952982902,-67.47522054654632,0,0,0,0
2025-01-09T19:00:00+07:00,0.005627,0.005709,0.005352,0.005664,0,0,0,0,0,0,4018164493,20.140582917022847,NaN,0,-56.00210250844378,-63.380024848234605,0,0,0,0
2025-01-09T23:00:00+07:00,0.005664,0.0057,0.005449,0.005465,0,0,0,0,0,0,2963979526,21.7982224176707,NaN,0,-52.031693449954886,-58.90386446642516,0,0,0,0
2025-01-10T03:00:00+07:00,0.005465,0.005579,0.005378,0.005538,0,0,0,0,0,0,2083744707,23.468147804899743,NaN,0,-45.87601016770619,-53.540282039358466,0,0,0,0
2025-01-10T07:00:00+07:00,0.005537,0.005645,0.005534,0.00563,0,0,0,0,0,0,1242091815,24.35387008542625,NaN,0,-37.63476882717237,-46.93903264688452,0,0,0,0
2025-01-10T11:00:00+07:00,0.00563,0.005818,0.005619,0.005781,0,0,0,0,0,0,1734297045,23.639355235999574,NaN,0,-27.03652472974647,-38.89434792459293,0,0,0,0
2025-01-10T15:00:00+07:00,0.00578,0.005817,0.005713,0.005762,0,0,0,0,0,0,1845231452,22.975877161531947,NaN,0,-18.713291453182865,-30.560038430118976,0,0,0,0
2025-01-10T19:00:00+07:00,0.005763,0.005781,0.00554,0.005662,0,0,0,0,0,0,4380159025,22.941572474326215,NaN,0,-15.896708341333753,-23.772788635379367,0,0,0,0
2025-01-10T23:00:00+07:00,0.005662,0.00581,0.005585,0.005739,0,0,0,0,0,0,2004891497,22.660346709932355,NaN,0,-11.672983445327393,-17.986629549212395,0,0,0,0
2025-01-11T03:00:00+07:00,0.005738,0.005779,0.005671,0.005755,0,0,0,0,0,0,1004772586,22.39920850013806,NaN,0,-7.846003648824536,-13.205012312369714,0,0,0,0
2025-01-11T07:00:00+07:00,0.005755,0.005799,0.005705,0.005716,0,0,0,0,0,0,849814590,21.965605932700207,NaN,0,-6.7190170476161075,-10.033650553680749,0,0,0,0
2025-01-11T11:00:00+07:00,0.005718,0.005762,0.005683,0.00571,0,0,0,0,0,0,791189328,21.653229904656598,NaN,0,-7.055550413652215,-8.32896709581251,0,0,0,0
2025-01-11T15:00:00+07:00,0.005711,0.005775,0.005679,0.005768,0,0,0,0,0,0,959127424,21.22546588798471,NaN,0,-3.625114030290235,-6.257987579458987,0,0,0,0
2025-01-11T19:00:00+07:00,0.005768,0.005783,0.005693,0.005702,0,0,0,0,0,0,893305059,20.73903246776382,NaN,0,-4.476326657993204,-5.288851893076024,0,0,0,0
2025-01-11T23:00:00+07:00,0.005703,0.005725,0.005671,0.005705,0,0,0,0,0,0,700787254,20.398236903711712,NaN,0,-5.070468689892207,-4.997540669815007,0,0,0,0
2025-01-12T03:00:00+07:00,0.005706,0.005877,0.005692,0.005748,0,0,0,0,0,0,1500671857,18.46937162978987,NaN,0,-4.81489861575128,-4.8060750857691685,0,0,0,0
