time,open,high,low,close,ADX Trên Threshold,ADX Dưới Threshold,Ngưỡng Threshold,RROF Smooth,Signal Line,Buy4,Sell4,RSI,RSI Fast MA,RSI Slow MA,Histogram,MACD,Signal
2024-06-02T19:00:00+07:00,0.0148132,0.014871,0.014725,0.0148442,1.4778086019312688,NaN,0,10.899124407208774,0.08874188225675823,0,0,53.51828950412851,45.070366479244946,40.80890943713625,0.000035020369247229486,-0.00006815002655830536,-0.00010317039580553485
2024-06-02T19:30:00+07:00,0.0148442,0.0149594,0.0148005,0.0148373,0.13919213031975985,NaN,0,17.120530151924225,7.219800098319632,0,0,53.1719025989503,46.690673703186015,41.2962475655787,0.000041111383156244274,-0.0000517811668602295,-0.00009289255001647378
2024-06-02T20:00:00+07:00,0.0148373,0.0150645,0.0147728,0.0149436,NaN,-0.4215243727969238,0,24.051404120598047,14.491151450176782,0,0,57.7127559877696,48.89509016010273,41.98384959047959,0.00005040468734416863,-0.000029886690836262997,-0.00008029137818043163
2024-06-02T20:30:00+07:00,0.0149437,0.0150124,0.0148746,0.0149501,NaN,-0.9421896971195522,0,29.58541064822371,21.255680869017105,0,0,57.981068390357365,50.71228580615366,42.679676937950795,0.00005473406935097194,-0.000011873791491716704,-0.00006660786084268864
2024-06-02T21:00:00+07:00,0.0149513,0.0149597,0.0148601,0.0149306,NaN,-1.562184550632967,0,32.86744561941609,26.664884517521774,0,0,56.81637706290927,51.93310405750478,43.32300997952411,0.00005394119846816736,8.186372425205563e-7,-0.000053122561225646804
2024-06-02T21:30:00+07:00,0.0149314,0.0150623,0.014877,0.0149833,NaN,-1.4702383600007387,0,36.45324038393408,31.181036982341745,0,0,59.20159724889601,53.386802695783025,44.06845147919475,0.00005446405473566178,0.000014957507193930422,-0.00003950654754173136
2024-06-02T22:00:00+07:00,0.0149833,0.0149867,0.014761,0.0148333,NaN,-2.4409883430806367,0,32.302008607022486,32.60983778974283,0,0,50.629647239165706,52.83537160445956,44.430547296144105,0.00004272419924804458,0.000013898701518324369,-0.000028825497729720214
2024-06-02T22:30:00+07:00,0.0148329,0.0148666,0.0147833,0.0148143,NaN,-3.3423990416548257,0,26.540112200213134,31.105907897867578,0,0,49.64902009121369,52.19810130181039,44.74512863392935,0.000032176473092191044,0.000011395093635518591,-0.000020781379456672453
2024-06-02T23:00:00+07:00,0.0148143,0.0148548,0.0145397,0.0145832,NaN,-3.839995827959182,0,14.732702143368853,25.500260781736568,0,0,39.601817550673736,49.67884455158306,44.618029254889414,0.000009319816553949189,-0.000009131608764235966,-0.000018451425318185154
2024-06-02T23:30:00+07:00,0.0145832,0.0146578,0.014533,0.0145822,NaN,-4.261880537095067,0,3.5047737626652764,17.142151439028016,0,0,39.5645075739097,47.65597715604839,44.49355038352059,-0.000005390452682483493,-0.00002518949117128952,-0.000019799038488806026
2024-06-03T00:00:00+07:00,0.0145823,0.0145823,0.0142,0.014302,NaN,-3.074822330437261,0,-10.164685288886101,6.1850672029190585,0,0,30.806504432069843,44.28608261125268,43.987811002444985,-0.00003202919336479987,-0.000059835530194805864,-0.000027806336830005996
2024-06-03T00:30:00+07:00,0.0143019,0.0143023,0.0140803,0.014124,NaN,-1.5622154425210262,0,-24.293594415409927,-6.373791697176491,0,0,26.754801304898976,40.77982634998194,43.31903969864969,-0.00005815285579882139,-0.00010049740657853273,-0.00004234455077971134
2024-06-03T01:00:00+07:00,0.0141243,0.0142439,0.0138915,0.014153,0.390106560333912,NaN,0,-32.57824985470451,-17.921162208874744,0,0,28.406874168904494,38.30523591376645,42.736541038265585,-0.00006924143308170161,-0.00012889634213183836,-0.00005965490905013674
2024-06-03T01:30:00+07:00,0.014153,0.014268,0.0141426,0.0142158,2.007077931253715,NaN,0,-34.366534796170704,-26.12340356406722,0,0,31.984573120147417,37.041103355042644,42.31865821229609,-0.00006801017645654532,-0.0001446676296208184,-0.00007665745316427307
2024-06-03T02:00:00+07:00,0.0142158,0.0143162,0.0140911,0.0141682,3.657711615141114,NaN,0,-35.97245791513861,-31.58767016294636,0,0,30.73102362055471,35.77908740814506,41.857574872039464,-0.00006601209225580258,-0.0001591725684840263,-0.00009316047622822372
2024-06-03T02:30:00+07:00,0.0141682,0.0142173,0.0141148,0.0141389,5.190442893036558,NaN,0,-37.1438037933761,-34.810569942717734,0,0,29.952836155563332,34.613837157628716,41.37481813540139,-0.00006231980010309578,-0.00017106022635709345,-0.00010874042625399767
2024-06-03T03:00:00+07:00,0.0141384,0.014198,0.0140058,0.0141148,6.933568995459755,NaN,0,-37.902376518602004,-36.48771939726508,0,0,29.295715054959715,33.55021273709492,40.8761694631083,-0.000057285276001940125,-0.0001803470212564228,-0.00012306174525448268
2024-06-03T03:30:00+07:00,0.0141158,0.0142382,0.014105,0.0142132,8.172012969824515,NaN,0,-33.36636021176428,-35.745611275987045,0,0,35.5161553276601,33.94340125520795,40.65191972326298,-0.000043725156442099095,-0.00017771819080710655,-0.00013399303436500745
2024-06-03T04:00:00+07:00,0.0142138,0.0143184,0.01421,0.0142405,8.587639722198155,NaN,0,-28.77423487222784,-33.42025401772621,0,0,37.16777505182104,34.58827601453057,40.50480790646763,-0.00002996998011256153,-0.00017145550950570937,-0.00014148552939314784
2024-06-03T04:30:00+07:00,0.0142406,0.0142591,0.0141725,0.0142344,9.11964842057062,NaN,0,-25.43051285374236,-30.353142748233076,0,0,36.940103318128514,35.05864147525016,40.35036310911956,-0.000018876817375731796,-0.00016508155111281259,-0.0001462047337370808
2024-06-03T05:00:00+07:00,0.0142344,0.01432,0.0141938,0.0142827,9.05579904360917,NaN,0,-19.72687124532493,-26.087613946693878,0,0,40.07040279411351,36.060993739022834,40.33022537778669,-0.00000651897011141696,-0.00015435344637635198,-0.00014783447626493502
2024-06-03T05:30:00+07:00,0.0142827,0.0144559,0.0142785,0.0144003,7.878852356389238,NaN,0,-10.204383872077576,-19.80905152394231,0,0,46.97246609950039,38.24328821111835,40.6068324011323,0.000010421160293847058,-0.0001348080258976262,-0.00014522918619147327
2024-06-03T06:00:00+07:00,0.0144002,0.0145182,0.01439,0.0145165,6.325692002272426,NaN,0,1.5382618643398425,-11.462806698819897,0,0,52.76163151301813,41.146956871498304,41.12752723404785,0.000029232250708558833,-0.00010868887280577472,-0.00013792112351433355
