time,open,high,low,close,Buy4,Sell4,ADX Trên Threshold,ADX Dưới Threshold,Ngưỡng Threshold,RROF Smooth,Signal Line,Mua4 khung lớn,SELL4 khung lớn
2024-05-14T06:30:00+07:00,62862.7,62958.5,62828.3,62912.1,0,0,NaN,-6.863657985321886,0,4.545897034419531,5.683557455533065,0,0
2024-05-14T07:00:00+07:00,62912.2,62952.3,62806.9,62952.2,0,0,NaN,-7.5711336740992365,0,9.263702250877449,6.092635353119847,0,0
2024-05-14T07:30:00+07:00,62952.2,63099.6,62700,62798.1,0,0,NaN,-7.542153271269317,0,6.771175518307894,6.264875836040844,0,0
2024-05-14T08:00:00+07:00,62798.1,63002,62736,62998.7,0,0,NaN,-7.515242897212961,0,9.206295005469858,7.516942842212671,0,0
2024-05-14T08:30:00+07:00,62998.7,63000,62550,62627.3,0,0,NaN,-8.608693890630057,0,3.3460989578943576,6.4628335268299555,0,0
2024-05-14T09:00:00+07:00,62627.3,62678.3,62466.4,62523.1,0,0,NaN,-9.493903218873001,0,-5.409071535265847,2.4509317639434003,0,0
2024-05-14T09:30:00+07:00,62523,62694.5,62488.8,62529.2,0,0,NaN,-10.408400516610591,0,-14.125924562804713,-3.8029231034770845,0,0
2024-05-14T10:00:00+07:00,62529.2,62678.3,62412.5,62475,0,0,NaN,-10.844637612841467,0,-23.583046201357565,-11.64984339616971,0,0
2024-05-14T10:30:00+07:00,62475.1,62588.3,62377.2,62464.8,0,0,NaN,-11.061762739162159,0,-31.716015567258978,-20.18413869618511,0,0
2024-05-14T11:00:00+07:00,62464.8,62650,62381.7,62588.3,0,0,NaN,-11.67088206022395,0,-31.11592259629347,-25.790248967696748,0,0
2024-05-14T11:30:00+07:00,62588.2,62588.3,62435.7,62524,0,0,NaN,-12.236492858352754,0,-30.995474083443323,-29.058741631312486,0,0
2024-05-14T12:00:00+07:00,62523.9,62732.7,62463,62659.7,0,0,NaN,-12.61370213969203,0,-23.97334611195641,-28.28076480122075,0,0
2024-05-14T12:30:00+07:00,62659.6,62749.9,62612.2,62693.9,0,0,NaN,-12.861884537493513,0,-15.894150289821413,-24.153227927140573,0,0
2024-05-14T13:00:00+07:00,62693.9,62694,61373.2,61626.9,0,0,NaN,-10.124770450847933,0,-15.719063507223613,-20.479921852963535,0,0
2024-05-14T13:30:00+07:00,61627,62096.2,61602.6,62014.7,0,0,NaN,-7.583164513248466,0,-10.310678390515767,-16.07028421055291,0,0
2024-05-14T14:00:00+07:00,62014.6,62090.5,61797.9,61932.7,0,0,NaN,-5.223101856906105,0,-7.651735175078847,-12.161348443381826,0,0
2024-05-14T14:30:00+07:00,61932.8,62042.6,61836.6,62002.1,0,0,NaN,-3.031615104588198,0,-4.17805968460811,-8.650770106611457,0,0
2024-05-14T15:00:00+07:00,62002,62015.7,61818,61893.8,0,0,NaN,-0.9581363509961847,0,-3.9985447671469396,-6.400039225843921,0,0
2024-05-14T15:30:00+07:00,61893.8,61900,61666,61829.6,0,0,1.2732828659505095,NaN,0,-5.026994893534029,-5.28516542205038,0,0
2024-05-14T16:00:00+07:00,61829.6,61937,61788.5,61864.9,0,0,3.096780896687175,NaN,0,-5.2112417150218535,-4.944511799665418,0,0
2024-05-14T16:30:00+07:00,61865,61871,61720.9,61767.5,0,0,4.9354024051254335,NaN,0,-6.456888684979584,-5.359036278965961,0,0
2024-05-14T17:00:00+07:00,61767.4,61801.1,61492.8,61623.1,0,0,7.0813399999670565,NaN,0,-11.50422948319684,-7.535664123678873,0,0
2024-05-14T17:30:00+07:00,61623.2,61740.6,61555,61695.7,0,0,9.073996338034277,NaN,0,-12.871505613869784,-9.679639358710183,0,0
2024-05-14T18:00:00+07:00,61695.7,61867.1,61662.2,61839.3,0,0,10.023649392170434,NaN,0,-9.121883769760101,-9.98220992259008,0,0
2024-05-14T18:30:00+07:00,61839.4,61865,61737.7,61770.2,0,0,10.90547008529687,NaN,0,-6.572733370085889,-9.162071094830164,1,0
2024-05-14T19:00:00+07:00,61770.2,62086.8,61723.2,61932,1,0,10.270220028616286,NaN,0,0.04848143015375227,-6.044094556652768,0,0
2024-05-14T19:30:00+07:00,61932,61932.1,60950,61536.4,0,0,11.460707046240486,NaN,0,0.8146551635027564,-3.104418115034591,0,0
2024-05-14T20:00:00+07:00,61536.5,62028.9,61418,61953.2,0,0,12.088476621837138,NaN,0,7.483910305596276,1.2370843975014523,0,0
2024-05-14T20:30:00+07:00,61953.1,62039,61640,61670.5,0,0,12.620345787989166,NaN,0,7.695200384179502,4.291989208267499,0,0
2024-05-14T21:00:00+07:00,61670.6,62014.4,61094.8,61962,0,0,13.995540208626252,NaN,0,11.865099815326797,7.615721552486673,0,0
2024-05-14T21:30:00+07:00,61962,62295.9,61477,61772.1,0,0,14.03906720104898,NaN,0,11.852656899180273,9.706117378962825,0,0
2024-05-14T22:00:00+07:00,61772.2,62021.7,61656.2,61860.2,0,0,14.079485122584373,NaN,0,12.697343543487316,11.291130388939557,0,0
2024-05-14T22:30:00+07:00,61860.2,61975.6,61615.3,61749.9,0,0,14.19557640895107,NaN,0,10.992790420162022,11.51577979914222,0,0
2024-05-14T23:00:00+07:00,61750,61793,61384.6,61483.5,0,0,14.725231870750086,NaN,0,5.501340210831458,9.676020465263646,0,1
2024-05-14T23:30:00+07:00,61483.5,61555,61203,61406.4,0,1,15.513980500778615,NaN,0,-0.9655896640860507,5.826875184635769,0,0
2024-05-15T00:00:00+07:00,61407,61487.9,61236.8,61413.1,0,0,16.246389942947957,NaN,0,-5.2493289888024135,1.4051960943966306,0,0
2024-05-15T00:30:00+07:00,61413.2,61441.2,61116.6,61288.8,0,0,17.124815405431463,NaN,0,-11.12211069128538,-3.833944504137984,0,0
2024-05-15T01:00:00+07:00,61288.9,61436.9,61207.3,61224.5,0,0,17.940496192023296,NaN,0,-17.15371649486054,-9.495656754879473,0,0
