Trade #,Type,Signal,Date/Time,Price USDT,Quantity,P&L USDT,P&L %,Run-up USDT,Run-up %,Drawdown USDT,Drawdown %,Cumulative P&L USDT,Cumulative P&L %
697,Entry short,SHORT,2025-05-04 12:00,"95,680.1",4.941309,0.49,0.00%,2508.7,0.53%,-2122.29,-0.45%,-527214.5,0.00%
698,Exit long,SHORT,2025-05-05 06:30,"94,363.0",4.94133,-6507.73,-1.38%,98.83,0.02%,-6571.97,-1.39%,-533722.25,-1.38%
698,Entry long,LONG,2025-05-05 03:30,"95,680.0",4.94133,-6507.73,-1.38%,98.83,0.02%,-6571.97,-1.39%,-533722.25,-1.38%
699,Exit short,LONG,2025-05-05 14:00,"94,724.2",4.941319,-1784.8,-0.38%,4535.64,0.97%,-1924.64,-0.41%,-535507.06,-0.38%
699,Entry short,SHORT,2025-05-05 06:30,"94,363.0",4.941319,-1784.8,-0.38%,4535.64,0.97%,-1924.64,-0.41%,-535507.06,-0.38%
700,Exit long,SHORT,2025-05-05 16:30,"94,559.3",4.903635,-808.61,-0.17%,266.27,0.06%,-1487.27,-0.32%,-536315.6,-0.17%
700,Entry long,LONG,2025-05-05 14:00,"94,724.2",4.903635,-808.61,-0.17%,266.27,0.06%,-1487.27,-0.32%,-536315.6,-0.17%
701,Exit short,LONG,2025-05-06 01:00,"94,458.6",4.903635,493.8,0.11%,4902.16,1.06%,-209.39,-0.05%,-535821.9,0.11%
701,Entry short,SHORT,2025-05-05 16:30,"94,559.3",4.903635,493.8,0.11%,4902.16,1.06%,-209.39,-0.05%,-535821.9,0.11%
702,Exit long,Close entry(s) order LONG,2025-05-06 09:30,"94,074.2",4.914101,-1888.98,-0.41%,3471.81,0.75%,-3166.65,-0.68%,-537710.8,-0.41%
702,Entry long,LONG,2025-05-06 01:00,"94,458.6",4.914101,-1888.98,-0.41%,3471.81,0.75%,-3166.65,-0.68%,-537710.8,-0.41%
703,Exit short,Close entry(s) order SHORT,2025-05-07 13:30,"96,545.2",4.798806,-1012.55,-0.22%,110.37,0.02%,-1340.79,-0.29%,-538723.4,-0.22%
703,Entry short,SHORT,2025-05-07 13:00,"96,334.2",4.798806,-1012.55,-0.22%,110.37,0.02%,-1340.79,-0.29%,-538723.4,-0.22%
